,Language,alder,ancestor,angle,ant,apple,arm,arse,aspen,axe,barley,battle,beam,"beam, bridge",bean,bear,beard,beast,bee,beech,beer,belly,berry,birch,bird,bison,blackberry,blood,boar,body,bone,bonfire,bow,bowels,brain,branch,breast,breathe,brother,brother's wife,brother-in-law's wife,brow,butter,buttock,cereal,cheek,cheese,cherry,chin,copy,corn,corner,corpse,cow,cow/bull,crane,cream,crow,cub,daughter,daughter-in-law,dawn,day,"dead person, death",dog,door,dry,duck,dust,dwelling,eagle,ear,earth,eel,egg,elbow,elm,evening,excrement,eye,farrow,father,father-/mother-in-law,"fault, sin",fear,fee,field,fire,fish,flax,flea,flesh,fly,foam,foot,forearm,fort,fox,gland,glue,goat,"god, i.e. 'shining'",goose,grandfather/mother's brother,grandson/nephew,grass,grease,grouse,grub,hail,hair,half,hand,harvest,hate,hazel,head,heart,hedgehog,heel,hide,honey,hook,horn,hornbeam/oak,horror,horse,house,husband's brother,ice,intestines,jaw,kidney,kneecap,lake,lamb,lap,law,ledge->tooth,leg,light/bright,lighting/strike,lightning,lip,liver,louse,louse (egg),lung,lynx,man,maple,mattock,mead,meat,metal,milk,millstone,mist,moon/month,mother,mount,mouse,mouth,nail,name,navel,neck,nest,night,northwind,nose,nut,oak,oats,onion,otter,"ox, bull",part,pea,penis,people,person,pine,pond,pouch,power,"power, strength",price,ram,raven,reed,resin,rib,river,road,root,ruler,rye,salmon,salt,sea,sheep,shell,shoulder,sinew,sister,skin,skull,sky/cloud,sleep,smoke,snake,snow,son,space,sparrow,spear/pike,spelt,spleen,spring,squirrel,staff,star,stick,stone,stranger/guest,summer,sun,swamp,sweat,swine,taste,tear,testicle,thorn,throat,thrush,thunder,tongue,tool,tooth,tortoise,"tree, wood",tribe,turnip,udder,victory,village,vital force,vulva,war,wasp,water,wax,wealth/cattle,wheat,wheel,wheel/chariot,whole,widow,winter,wolf,woman,womb,wool,worm,year,yesterday,yoke
10,Cornish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KS,,
11,Crimean Gothic,,,,MR,,,,,,,,,,,,PRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XS,,,,,,,,,,,,,,AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Czech,,,,,,,,,,,,,,,,,,,,,,,,,,,,FPR,,,PR,,,MSK,,,,PRTR,,,,,,,,,,,,,,,,HFT,,,,,,SNK,,,,,,,,,,ARL,,,,,,,,,,PRS,,SFKRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTFN,,JSR,,,,,,,,,,,,,PLS,,,,,,,,,,,MSK,MTK,,,,,JMN,,,,,,,,,,,,,,,,,MS,,,,,,,,,,,,,,,,,,,MR,,,,,SSTR,,,,,,,SN,SN,,,,,,,,,,,,HST,,,,,,,,,,,,,,,,SLF,,,,,,,,,,,,,,,,,,FTF,,,SN,,,,,,
13,Dacian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Dutch,,,,M,,,,,,,,KRNTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KRTXP,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,
15,Eastern Baltic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRKST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,English,ALTR,,,,,ARM,ARS,,AKS,,H,KRNTL,PRJ,PN,,PRT,,P,PX,AL,,AKRN,PRS,,STR,,,AFR,MTRF,,FR,AR,JRN,MR,,SPN,AAN,PR0R,,,PR,SLF,,,XN,,,,,KRN,,N,,K,KRN,RM,,,TTR,SNR,AST,T,,HNT,TR,0RST,ANT,,0RP,ARN,AR,PRTKRM,,KKN,ALN,AXLM,,,A,FR,F0R,SR,AKN,KRN,MT,AKR,,FSK,LNN,FL,,MJ,FM,FT,,PRF,,,,,TST,KS,AM,NF,,SMRN,,,,,,MNT,ARNN,HT,HSL,HFT,,AJL,FRSN,,MLT,HK,HRN,,,MR,TMPR,TKR,ASKL,TR,SFL,LNTN,HL,,ANN,,,KMP,,LT,,,,,LS,NT,,LKS,ARLF,LN,,MT,R,AR,,KRN,,MN,M0R,,MS,AR,NL,NM,NFL,MN,NST,NT,XR,NS,,,,RMSN,ATR,AKS,,,FFSL,LT,MN,,LK,MK,,,,AR,,HLM,KT,,AFR,FNTN,ART,RT,RJ,LKS,SLT,MR,A,,HP,,SSTR,FLMN,,NFL,SFN,TMN,NNTR,SN,SN,,SPR,,PRL,,,AKRN,,STR,KT,HMR,KST,SMR,SJL,,STN,S,SSN,TR,,0RN,,0RX,0NTR,TNK,,T0,,TR,0T,,ATR,AKN,X,AFR,,HRPRK,ASP,ATR,,F,FRS,RTR,AL,,AT,,ALF,KN,,AL,ARM,A0R,ASTRT,JK
17,English Old English,,,,,,,,SPNKLXSPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PR,,,,,,,,,,,,,,,,,,,,,,,NF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MR,,,,,NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSR,,,,,,,,,,,,,,,,,,,,HT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,,
19,Gaulish,ALS,,,,AFL,,,,,,KT,,PRF,,ARTS,,,PKS,PKKN,,,,,,TRPS,,,,,,,,,,,,,PRTR,,,,,,,,,,,,,KNTM,,,,,,,,TKSTR,,,,,KN,TR,,,,,,ASS,,,,,,,,,ARK,ATRNS,,,,,,,,,,,,,KNTTM,,PRKS,,,,,TFN,,AFNTR,N,,,,,,,,,,,,,,,,,MLSS,,KRNKS,,,MRKN,,,,,,,,,,,,,,LKS,,,,,,,,,AR,,MTK,,,ASRNS,,,,,MTR,,,,,,,MNKS,,,,,,,,,,,,,,,,,,,NRTPRK,,,,,,,,,,,KTRKS,,,,ARMRS,,,,,SR,,,,,,,,,,,,,,,,,,,AKNM,,,,ARLT,,,,,,,,,TRNS,,,,,TRFS,TT,,,ARTFSS,,,,TRKR,,,,,,RTMKS,,,,JMLS,FL,,,,,,,FRKTMNS
