,Language,alder,ancestor,angle,ant,apple,arm,arse,aspen,axe,barley,battle,beam,"beam, bridge",bean,bear,beard,beast,bee,beech,beer,belly,berry,birch,bird,bison,blackberry,blood,boar,body,bone,bonfire,bow,bowels,brain,branch,breast,breathe,brother,brother's wife,brother-in-law's wife,brow,butter,buttock,cereal,cheek,cheese,cherry,chin,copy,corn,corner,corpse,cow,cow/bull,crane,cream,crow,cub,daughter,daughter-in-law,dawn,day,"dead person, death",dog,door,dry,duck,dust,dwelling,eagle,ear,earth,eel,egg,elbow,elm,evening,excrement,eye,farrow,father,father-/mother-in-law,"fault, sin",fear,fee,field,fire,fish,flax,flea,flesh,fly,foam,foot,forearm,fort,fox,gland,glue,goat,"god, i.e. 'shining'",goose,grandfather/mother's brother,grandson/nephew,grass,grease,grouse,grub,hail,hair,half,hand,harvest,hate,hazel,head,heart,hedgehog,heel,hide,honey,hook,horn,hornbeam/oak,horror,horse,house,husband's brother,ice,intestines,jaw,kidney,kneecap,lake,lamb,lap,law,ledge->tooth,leg,light/bright,lighting/strike,lightning,lip,liver,louse,louse (egg),lung,lynx,man,maple,mattock,mead,meat,metal,milk,millstone,mist,moon/month,mother,mount,mouse,mouth,nail,name,navel,neck,nest,night,northwind,nose,nut,oak,oats,onion,otter,"ox, bull",part,pea,penis,people,person,pine,pond,pouch,power,"power, strength",price,ram,raven,reed,resin,rib,river,road,root,ruler,rye,salmon,salt,sea,sheep,shell,shoulder,sinew,sister,skin,skull,sky/cloud,sleep,smoke,snake,snow,son,space,sparrow,spear/pike,spelt,spleen,spring,squirrel,staff,star,stick,stone,stranger/guest,summer,sun,swamp,sweat,swine,taste,tear,testicle,thorn,throat,thrush,thunder,tongue,tool,tooth,tortoise,"tree, wood",tribe,turnip,udder,victory,village,vital force,vulva,war,wasp,water,wax,wealth/cattle,wheat,wheel,wheel/chariot,whole,widow,winter,wolf,woman,womb,wool,worm,year,yesterday,yoke
20,German,ALR,AN,ANK,,,ARM,ARX,ASP,AKS,,H0,KRNTL,PRK,PN,,PRT,,PN,P,,ANST,AKR,PR,,STR,,,APR,RF,,FR,,KRN,MRK,HHL,SPNFRKL,,PRTR,,,PR,SLP,,ASK,XN,,,,,KRN,,NT,,K,KRNX,RM,,,TKTR,XNR,ASTN,TK,,HNT,TR,TR,ANT,,0RF,ARN,AR,PRTKM,ANKRLNK,A,,,,KK,AK,FRKL,FTR,XHR,,KRK,MT,AXR,,FX,LNN,FL,,MK,FM,FS,,PRK,,,,AR,S,KNS,AHM,NF,,XMR,,,,,,FRMNT,ARNT,HS,HSL,HPT,HRS,AJL,FRSN,MS,MLT,HKN,HRN,,KRST,MR,SMPR,SR,AXL,ATR,KFR,LNT,,,,,,KMP,,LT,,,LFSNKLXLP,,LS,NS,,LKS,ARLF,,MTL,MT,R,ARS,,KRN,,MN,MTR,,MS,,NJL,NM,NPL,MN,NST,NKT,XR,NS,,,,,ATR,AKS,,,FSLT,LT,MN,,LK,MJN,,,,AR,,HLM,KT,,AFR,FNTN,ARS,RKT,RKN,LKS,SLS,MR,A,,HFT,,XSTR,FL,HRN,NPL,,TPN,NTR,XN,SN,,SPRLNK,,,,,ARN,,STR,KRT,HMR,KST,SMR,SN,LTN,XS,S,KSN,SHR,,TRN,,0RSKL,TNR,SNK,SKFT,SNT,,,TTSK,RP,ATR,AKN,AS,JK,,HR,AFS,ASR,,FH,,RT,,,AT,,ALF,KN,,AL,ARM,ATR,KSTRN,JX
21,German Elle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Gothic,,,,,,ARMS,,,AKS,,,,,,,,,,,,,AKRN,,,STR,,,,,,FN,ARRSN,,,HH,,ASNN,PRR,,,,SLPN,,ATSK,KNS,,,,,KRN,KNT,NS,,,,,,,TTR,,,TKS,,HNTS,TR,RSS,,,RP,AR,AS,KM,,,ALN,,FK,,AK,,FR,SR,,KRS,MST,AKRS,,FSKS,LN,,MMS,,,FTS,,PRKH,,,,,TS,KNSS,A,,,SMRRR,,,,,SM,,ASNS,HTS,,HP,HRT,,FRSN,,ML,,HRN,,,,,,,,,,,,,,,,,LHH,,,,,,,,,AR,,,,,AS,,,,MN,,,,,,NM,,,,NTS,SKR,,,,,,,AX,,,,LTN,MN,,,,,,,,,,,,,FNNN,FRTS,RTS,,,SLT,MR,A,,HPS,,SSTR,FL,,,,TNS,NTRS,SNS,SNS,,SPR,,PRSNS,,,,,STRN,KSTS,,KSTS,,SL,,,SN,KSN,TKR,,,,,,TK,,TNNS,,TR,T,,,AHN,,AS,,HRJS,,AT,,FH,,,,,AT,,ALFS,KN,,AL,ARMS,ARS,JSTRTJS,JK
23,Greek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Hittite,ALNSN,HNS,HNK,,,,ARS,,,A,,,,,HRTK,,,,,,,,,,,MR,ASR,,,HST,PR,,KRT,,,,,,,,,SLP,,HTR,,,,SMKR,HM,,,,,,,,,,TTRTS,,,,,SNS,,,,PPRS,,HRN,ASTMN,TKN,,,,,,,,,,,,,,,AKNS,,,,,,,PTS,,PRK,,,,,,,,,,,,,,,,,,,,,KRTS,,PRSN,,MLT,,KRR,,,,,,AKN,,,,,,,,,,,LLKS,PRNS,,,,,,,,,,,,,,,,,ARMS,,,,A,,LMN,,,,NKS,,,,,,,,,,,,,,,,,,,ASN,,,,,,HP,,,,,,,,H,,,,,,,NPS,,T,,,,,,,,,,,,HSTRS,,AK,,,,,,,,,,,,,TRKSKS,,,,,TR,TS,,,,,,,,,ATR,,,,,,,,JM,,,,HLN,,AT,,AKN
25,Illyr.,,AN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRJNM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASRTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TT,,,,,,,,,,,,,,,,,,,,,,,,,
26,Irish,,,AK0,MRP,,,AR,,,ARN,K0,,,,,,,PX,,,,ARN,,A,TRP,SMR,,,KR,,,,,,JK,SN,ANL,PR0R,,,PRX,,,,JNK,,,SMX,,KRN,,NN,LK,P,,,,KTL,,,FR,,AK,K,TRS,TRM,,,T0RP,ARR,A,TN,,,ALN,,FSKR,KK,ANX,ARK,A0R,,,,,,,ASK,LN,,MR,,,,TT,PR,,,,HRP,T,KS,A,NKT,,SMR,T0R,KRM,,ALX,,,,KS,KL,,KRT,,,,ML,ALXNK,KRN,,,MRKK,,,AR,AN0R,KPXL,,,,AN,,HS,,,LSKM,,,,AXR,,SNT,,LK,FR,,,MT,KR,ARN,,PR,,M,M0R,,,,ANK,ANM,AMLKN,MN,NT,ANKT,,,,,,KRM,ATRRTR,,,,,LS,,,LX,MN,NRT,TPL,,FLP,,,,,,AS,FRM,R,,,SLN,MR,A,,,,SR,,,NM,SN,T0K,N0R,SNKT,S0,TL,SRX,,,SLK,ARK,,PK,,KT,,,SMRT,SL,L0K,,SK,ASKSM,TR,ARJ,TRN,,TRT,TRNT,TNK,,TT,,TRK,T0,,,FXM,,,,KR,FX,AS,,,,R0,KL,,FTP,KMRT,,PN,PRMK,ALN,,F0M,ANT,
27,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KRMP,,,,,
28,Kamviri,,,,,,,,,,,,AKR,,,AK,,,,,,,,,,,,,,,AT,,,,,K,,,PR,,AR,,,SLNS,,,,,,,,,,,K,,,,,J,,,,,,T,,,,,,,,,,,,,,AS,,,KKKK,,,,,,,,,,,,,,,,,,,T,,,NF,,,,,,,SKPTNTTT,,,,,,SR,,,,,,SN,,,,,,,,,,,,,,,SM,,RK,,,,AN,,,,,,,,MR,,,,,,MS,MTR,,MS,AS,,NM,,,,,,NSR,,,,,,,,,,,MNS,,,,,PLM,,,,,,,,PT,,,,,,,,,,J,SS,,,NR,,,,,,,,,,PR,FST,,,RST,,,,,S,,,,,,,,,,,TK,,TT,,T,,,,,,,,,ASPK,,,,,,,SKPTNTTT,,S,,,,,,,,A
29,Kamviri Umbrian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Kashmiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSNT,,,,P,,,,,,,,,,,,,,,,KF,,,,,,,,,,HN,,TRSHH,,,,,,SMN,,,,,,,,,PTR,,,,,,,,,,MS,MX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MK,,,,,,,MJ,,,,,,NF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TT,,,,,,,,,,,,ATR,,,,,,,,,,SNN,,,,,,
31,Kashubian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Khosti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Kurdish,,,,MR,,,,,,,,,,,HRS,,,,,,,,,,,,,PRS,,HST,,,,MS,,SNK,,PR,,,PR,,,,KP,,,,,,,,,K,KLNK,,,,TT,,,,,,,,,,,,K,,,HK,ANXK,FS,,,,PRS,PF,KSR,,,,,,,,,,MS,,P,,,RF,,,,,,,,,,,KRM,,PR,,,,,,,,JJ,PN,,,,,,,,,,,,,,,,,,,,,,,,LF,,,,PXK,,MR,,,,,,,,,,,,MSK,,NNK,NF,NFK,,,,,PS,,,,,,,,,,,,,,,,,,PRN,,,,PRS,,,R,,,,,,,,,,KXK,,SR,,,TF,,,,,,,,,,,,STR,,,,,,,,,,,,,,,,SMN,,TTN,KSL,,,,KHN,,,,,,,,,,,,,,,,,JN,,,,,T,
34,Latin,ALNS,ANS,ANKS,FRMK,,ARMS,,,AS,,,KRNT,,FP,ARSS,PRP,FRS,FKS,FKS,ALMN,ATRS,,FRKSNS,AFS,TRS,MRM,,FPRS,KRPS,KST,,ARKS,HRN,,,,ANMS,FRTR,KLS,ANTRSS,,,KLNS,ATR,JN,,,MKSL,AMLS,KRNM,KNTS,,,,KRS,,KRNKS,KTLS,,NRS,ARR,,NKS,KNS,FRS,TRR,ANS,,TRPS,,ARS,HMS,ANKL,AFM,ALN,,FSPR,KK,AKLS,PRKS,PTR,SKRS,,,,AKR,AKNS,PSS,LNM,PLKS,MMPRM,MSK,PMKS,PS,,FRTS,FLPS,ANKN,,ARS,TS,ANSR,FNKLS,NPS,,MTL,,,KRNT,PLS,SMS,MNS,ANN,AT,KRLS,KPT,KR,,PRNS,,ML,,SRFS,,FSTS,,TMS,LFR,,ATRS,,LMPS,,,AKNS,PKTS,AS,JM,,LKS,KRKS,,LPM,AKR,,,PLM,,FR,,MTL,MTS,KRR,AS,,,NPS,MNSS,MTR,,MS,AS,ANKS,NMN,AMPLKS,NKLS,NTS,NKS,KRS,NSS,,ASKLS,AFN,,LTR,,,SSR,PNS,LPR,MS,,LKS,,NRSS,TPLS,FNS,FRFKS,,KLMS,PTMN,,AMNS,PNTS,RTKS,RKS,,,SL,MR,AFS,KNKS,KPTS,,SRR,PLS,SRPRM,NPL,SMNS,FMS,NTRKS,NKS,,,PR,AK,FRN,LN,FR,FFR,PKLM,STL,,,HSTS,,SL,,STR,SS,TKN,LKRM,,,RMN,TRTS,TNR,LNK,KPS,TNTS,,TRS,,RPM,APR,FNSR,FKS,AFM,,,FSP,ANT,SR,PK,,RT,KLS,SLFS,FT,HMS,LPS,,,LN,FRMS,FTS,HR,AKM
35,Latvian,ALKSNS,,AKS,,APLS,,,APSS,,JJ,,KRT,,,,PRT,SFRS,PT,,ALS,FTRS,AK,PRSS,FST,TRNS,,ASNS,FPRS,,,,ARKSKS,SRN,SMTSNS,SK,SPNS,,PRLS,,ATR,,,,,STS,SRS,SRMKS,SMKRS,,SRNS,,NF,,KFS,TSR,RKS,,,,,ASM,,,SNS,TRFS,,,PRSL,TRP,ARKLS,AS,SM,,,ALKTS,FLKSN,FKRS,,AKS,,,,,,,,AKNS,,LN,PLS,MS,MS,,PT,PTS,,LPS,,,JRS,TFS,SS,,,SNS,,TTRS,SRM,,,,,,,,,SRTS,ASS,,MS,,,SRSS,SKPRTS,KRST,,NMS,TFRS,AS,,,,SNKSL,ASRS,,PKSS,,SPS,,LKS,,,,AKNS,,NT,PLSS,LSS,FRS,KLF,,MTS,KRFL,,SFSTS,TSRNS,,MNS,MT,,,AST,NKS,,NP,,,NKTS,,NSRTKNS,,AS,AS,SRMKSS,,,,,,LTS,,,,MKS,,,,,,SLMS,,,AP,,,,RTS,LSS,SLS,MR,AFS,,,,,PLN,,TPS,,TM,,SNKS,,TLPT,,ASMS,,,FSR,FFR,PKSTT,,,AKMNS,,,SL,LT,SFTR,SFNS,,ASR,ARSLS,TRJNS,RMNS,STRSTS,,,KPLS,,,TRF,TT,,,FKT,FSS,,PST,KRS,,ATNS,KR,,PR,RTS,,,FTS,SMS,FLKS,,,FLN,,,,JKT
36,Lithuanian,ALKSNS,ANT,ANK,,APLS,,,APS,,JF,,KRNTS,,,,PRST,SFRS,PT,,ALS,FTRS,AK,PRSS,FST,TRS,,,FPR,,,,,SRN,MTRNNSMJNS,SK,SPNS,ANT,PRLS,,JNT,PRFS,,SLNS,,SNTS,SRS,MTRNNSRMKSNS,SMKRS,,SRNS,KMPS,NFT,,,KRF,RKT,SRK,,TKT,,ASR,,NSLS,SNKLRKSTFSN,TRS,TRKST,ANTS,PRKST,TRP,ARLS,ASS,SM,ANKRS,,ALKTS,FNKSN,FKRS,KK,AKS,PRSS,,SSRS,,,,,AKNS,,LNS,PLS,MS,MS,PT,PT,TLPS,,LP,,KLJ,ARKS,TFS,ARLRFRNTTSNSS,AFNS,NPTS,SNS,SMRSS,TTRF,MTRNNKRMNS,KRTS,,,,,,KSLS,,SRTS,ASS,PNTNS,MSS,,KNJ,SRS,SKRPLS,KRS,,NMS,TFRS,ASS,,,,KNKL,ASRS,,,,SMPS,KRKL,LK,,MLN,LP,JKNS,LL,,PLS,LSS,FRS,KLFS,,MTS,KRJS,,SFSTS,JRN,,MN,MTRS,KRS,,MTRNNSTS,NKS,,,,LSTS,NKTS,SRS,NSS,,ASLS,AFS,KRMS,ATR,,,KK,,LTS,SMKS,,LKMN,MSS,NRS,,,,FRNS,,,PRSS,AP,,,,RKS,LSS,SLTS,MRS,AFS,,,,SS,PLN,,TPSS,SPNS,TM,,SNKS,SNS,TLPT,,ASMS,,PLSNS,FSR,FFR,PKSTLT,,,AKM,,,SL,LTP,SLTS,,,ASR,MTRNNRSLS,TRNS,RM,STRSTS,,LSFS,KPT,TNTS,SLF,TRF,TT,RP,ATRT,FKT,FSS,,PST,KRS,FPSF,FNT,KRS,PKS,PRS,RTS,,,FTS,SM,FLKS,,,FLN,FRMS,FTS,,JNKS
37,Low Saxon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Luwian,,,,,,,,,,,,,,,,,,,,,,,,,,,AXRR,,,HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TTR,,,,,,,,,,,,,TKMM,,,,,,,,,,,,,,,,,,,,,,PT,,,,,,,TTT,,,,,,,,,,,,,,,,,,,,MLTT,,,,,,,,,,,,,,,,,,,LHH,,,,,,,,,,,,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANRM,,,,,,,,HPN,,,,,,,,H,,,,,,,TPSS,,,,,,,,,,,,,,,,,KS,,,,,,,,,,,,TRNTT,,,,,TRJ,,,,,,,,,,,,,,,KLT,,,,AL,ANT,,,,,,
39,Lycian,,,,,,,,,,,,,,,,,,,,,,,,,,,ASN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PT,,PRJ,,,,,S,,,,,,,,,,,,,,,,KRT,,,,,,,,,,,,,,,,,,,,,,,LK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SP,,,,,,,TPHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRKNT,,,,,,TT,,,,,,,,,,,,,,,,,,,,,,,,,
40,Lydian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRFRR,,,,,,,,,,,,,,,,,,,,,,,,,,KNN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Macedonian,,,,,,,,,,,,,,,,PRT,,,,,,,,,,,,,,KSK,,,,MSK,,,,,SLF,,,,,,,,,,,,,,,,,,,,KRK,SNK,,,,,,,,,,,AF,,,,LKKT,,,,,,TTK,,,,,,,,,,MS,,,,,,,,,,,,FK,FNK,,,,,,,,,,,,,SRS,,,,,,,,,,,,,ATRP,,,,,,,,,,,,,,TSJR,,,,,,,,,,,,,,,MK,,,AST,NKT,AM,,,,,,,,,,,,,,,,,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SN,,,,,SLSN,,,,,,,KSTNN,,,,,,,,,,,,,,,,,,,,,,,,PK,,,,,,,,,,FTFK,,,,,,,,,
42,Middle Armenian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Old Armenian,,HN,,MRJN,,ARMKN,AR,,,,,,,,ARJ,,,,,,,,PRT,H,,MR,ARN,,,ASKR,HR,,JR,,S,STN,HF,AAPR,,NR,,,,HT,KNT,,,MRKK,,,,,,KF,KRNK,,,,TSTR,N,,,,SN,TRN,TTRMM,,,,ARR,ANKN,,,J,ALKK,,,KKKR,AKN,,,SKSR,,,,ART,,,,L,MS,MN,,ATN,,PRJR,AAS,,,ARK,T,,H,,ST,,TTRK,,KRKT,,,,,,,,SRT,ASN,,,MR,,SR,,KRSM,,TN,TKR,,,,,,,,,,KMM,,LS,,,,,,ANK,,LSNNKK,,,,,,,,ARKN,,AMS,MR,LRN,MKN,,AANN,ANN,,,NST,,KKRT,,,,,,,,,SSRN,,,,JN,LK,,AR,,KN,KRN,,,,,,HN,,,,,AA,,HF,,,,KKR,,SR,,KKN,,,,,,,,,PPKN,KRN,,,ASTT,,,,AMRN,,,KKRTN,,,ARTSR,ARJKK,,,,,LS,,ATMN,,KR,,,,FK,,,,,,KT,,ASR,,,,AAJ,,JMRN,,KN,,,ARTN,,,LK
44,Old Church Slavonic,,,,MRF,APLK,RM,,,,,KTR,,PRFN,,,PRT,SFR,PSL,,AL,,AKT,PRS,,TR,,,,,,,,,,,,FNJ,PRTR,SLF,,PRF,,,,,,,,,SRN,,NF,,,,,SRK,,TST,SNKS,,,,,,,,PRKS,,,AX,SML,,AJS,PKT,,,,AK,,,,,,MST,,AKN,,LN,,,,PN,PS,,,,,,JRN,TF,,A,NSTR,,,,SRMN,KRT,,,,,,,,SRTS,,,,,,,,,,,TFR,,,,,,JSR,AKN,,,,KRK,LS,,,,,,,,,,,,MT,KRF,,,,,MSS,MT,KR,MS,,NKT,AM,,,NST,NSTT,SFR,NS,,,AFS,,FTR,,,,,LTJ,MS,,,MSN,,PLJ,,,,,,PRS,,PT,,,,,SL,,,,,,SSTR,,,NP,SN,TM,,SNK,SN,,,AKL,PRSN,SLSN,FSN,,,,,,KST,,SLNS,,,,,,,,,TRSK,,,KPJ,,SLF,,,RP,,FK,FS,,,,FS,FT,,,PR,,,SL,FTF,SM,FLK,SN,SRP,FLN,FRM,FTKS,,AK
45,Old East Slavic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,,,,,,,,,,
46,Old English,,,,,PLNKLXPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANKLXSNTTPLNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AKNKLXK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Old High German,,,,,APFLKRMNPFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KRMNKRMNX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Old Irish,,,,,APL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLN,,,,,,,,,,
49,Old Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,ASR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
